Node,Time,Fault Type
1577836803,27.1386,333
1577836851,27.5602,337
1680972168.4226272,Fault: Data Not Received
1680972197,Fault: Data Not Received
1680972213,Fault: Channel Selection
1680972217,Fault: Channel Selection
2,1681005159,Fault: Channel Selection
2,1681005540,Fault: Channel Selection
2,1681006067,Fault: Channel Selection
255,1681006163,Fault: Channel Selection
2,1681006395,Fault: Channel Selection
2,1681006520,Fault: Channel Selection
2,1681006582,Fault: Data Not Received
2,1681006643,Fault: Data Not Received
2,1681007031,Fault: Channel Selection
2,1681007120,Fault: Channel Selection
255,1681019957,Fault: Channel Selection
255,1681020048,Fault: Channel Selection
255,1681020139,Fault: Channel Selection
255,1681020231,Fault: Channel Selection
255,1681020322,Fault: Channel Selection
255,1681020413,Fault: Channel Selection
255,1681020504,Fault: Channel Selection
255,1681020595,Fault: Channel Selection
255,1681020687,Fault: Channel Selection
255,1681020778,Fault: Channel Selection
255,1681020869,Fault: Channel Selection
255,1681020960,Fault: Channel Selection
255,1681021051,Fault: Channel Selection
255,1681021142,Fault: Channel Selection
255,1681021234,Fault: Channel Selection
255,1681021325,Fault: Channel Selection
255,1681021416,Fault: Channel Selection
255,1681021507,Fault: Channel Selection
255,1681021598,Fault: Channel Selection
255,1681021690,Fault: Channel Selection
255,1681021781,Fault: Channel Selection
255,1681021872,Fault: Channel Selection
255,1681021963,Fault: Channel Selection
255,1681022054,Fault: Channel Selection
255,1681022145,Fault: Channel Selection
255,1681022237,Fault: Channel Selection
255,1681022328,Fault: Channel Selection
255,1681022419,Fault: Channel Selection
255,1681022510,Fault: Channel Selection
255,1681022601,Fault: Channel Selection
255,1681022692,Fault: Channel Selection
255,1681022784,Fault: Channel Selection
255,1681022875,Fault: Channel Selection
255,1681022950,Fault: Channel Selection
255,1681023025,Fault: Channel Selection
255,1681023116,Fault: Channel Selection
255,1681023207,Fault: Channel Selection
255,1681023299,Fault: Channel Selection
255,1681023390,Fault: Channel Selection
255,1681023481,Fault: Channel Selection
255,1681023572,Fault: Channel Selection
255,1681023663,Fault: Channel Selection
255,1681023754,Fault: Channel Selection
255,1681023846,Fault: Channel Selection
255,1681023937,Fault: Channel Selection
255,1681024008,Fault: Channel Selection
255,1681024099,Fault: Channel Selection
255,1681024190,Fault: Channel Selection
255,1681024282,Fault: Channel Selection
255,1681024373,Fault: Channel Selection
255,1681024464,Fault: Channel Selection
255,1681024555,Fault: Channel Selection
255,1681024646,Fault: Channel Selection
255,1681024737,Fault: Channel Selection
255,1681024829,Fault: Channel Selection
255,1681024920,Fault: Channel Selection
255,1681025011,Fault: Channel Selection
255,1681025102,Fault: Channel Selection
255,1681025193,Fault: Channel Selection
255,1681025284,Fault: Channel Selection
255,1681025376,Fault: Channel Selection
255,1681025467,Fault: Channel Selection
255,1681025558,Fault: Channel Selection
